Citation,Study_Species,Species_analyze,Tree_taxon,Family,SiteLatitude,SiteLongitude,elevation.m,Sex,Mass,SVL,EstimationMethod,Home_range,MEAN_NPP,Total_Precip,MnAnnTemp,SD_Temp,IUCN habitats,IUCN aquatic,Aquatic index
Smith et al. 2009,Agkistrodon contortrix,Agkistrodon contortrix,Agkistrodon_contortrix,Viperidae,41.564999,-72.75942,123,Male,262.06,72.53,95KD,27.09,10527.9,1212.51,98.67,92.34,3,1,0.33
Smith et al. 2009,Agkistrodon contortrix,Agkistrodon contortrix,Agkistrodon_contortrix,Viperidae,41.564999,-72.75942,123,Female,174.25,61.94,95KD,7.25,10527.9,1212.51,98.67,92.34,3,1,0.33
Sutton et al. 2017,Agkistrodon contortrix,Agkistrodon contortrix,Agkistrodon_contortrix,Viperidae,34.24,-87.414,240,Male,262.06,72.53,95KD,17.8,7306.452703,1493.635135,152.6527778,79.8636545,3,1,0.333333333
Sutton et al. 2017,Agkistrodon contortrix,Agkistrodon contortrix,Agkistrodon_contortrix,Viperidae,34.24,-87.414,240,Female,174.25,61.94,95KD,7.1,7306.452703,1493.635135,152.6527778,79.8636545,3,1,0.333333333
Roth 2005,Agkistrodon piscivorus,Agkistrodon piscivorus,Agkistrodon_piscivorus,Viperidae,30.626465,-95.542789,110,Male,284.5,58.9,95MCP,1.86,5040.95,1149.55,193.83,71.35,21,19,0.9
Roth 2005,Agkistrodon piscivorus,Agkistrodon piscivorus,Agkistrodon_piscivorus,Viperidae,30.626465,-95.542789,110,Female,218.7,53.2,95MCP,0.372,5040.95,1149.55,193.83,71.35,21,19,0.9
Linn et al. 2006,Bitis gabonica,Bitis gabonica,Bitis_gabonica,Viperidae,-28.421183,32.284239,55,Male,1394,97.17,100MCP,39.55,16451.87,1049.38,217.29,28.14,8,1,0.13
Linn et al. 2006,Bitis gabonica gabonica,Bitis gabonica,Bitis_gabonica,Viperidae,-28.421183,32.284239,55,Female,1981,93.08,100MCP,12.6,16451.87,1049.38,217.29,28.14,8,1,0.13
Warner 2009,Bitis gabonica,Bitis gabonica,Bitis_gabonica,Viperidae,-27.636135,32.582517,32,Male,1394,97.17,100MCP,42.48,11433.8,903.66,220.77,28.47,8,1,0.13
Warner 2009,Bitis gabonica,Bitis gabonica,Bitis_gabonica,Viperidae,-27.636135,32.582517,32,Female,1981,93.08,100MCP,7.72,11433.8,903.66,220.77,28.47,8,1,0.13
Wasko and Sasa 2009,Bothrops asper,Bothrops asper,Bothrops_asper,Viperidae,10.431253,-84.0036,48,Male,553,107.08,100MCP,6.29,9811.21,4034.24,258.56,7.73,8,0,0
Wasko and Sasa 2009,Bothrops asper,Bothrops asper,Bothrops_asper,Viperidae,10.431253,-84.0036,48,Female,942.75,125.59,100MCP,5.8,9811.21,4034.24,258.56,7.73,8,0,0
Puente-Rolon and Bird-Pico 2004,Epicrates inornatus,Epicrates inornatus,Chilabothrus_inornatus,Boidae,18.415459,-66.725843,140,Male,861.2,136.56,100MCP,5,11194.07,1726.68,246.47,12.71,8,1,0.13
Puente-Rolon and Bird-Pico 2004,Epicrates inornatus,Epicrates inornatus,Chilabothrus_inornatus,Boidae,18.415459,-66.725843,140,Female,1124.6,151.11,100MCP,7.89,11194.07,1726.68,246.47,12.71,8,1,0.13
Wunderle et al. 2004,Epicrates inornatus,Epicrates inornatus,Chilabothrus_inornatus,Boidae,18.310011,-65.74253,200,Male,861.2,136.56,95MCP,12.9,11524.59,2382.96,239.5,13.07,8,1,0.13
Wunderle et al. 2004,Epicrates inornatus,Epicrates inornatus,Chilabothrus_inornatus,Boidae,18.310011,-65.74253,200,Female,1124.6,151.11,95MCP,10.29,11524.59,2382.96,239.5,13.07,8,1,0.13
Miersma 2006,Epicrates subflavus,Epicrates subflavus,Chilabothrus_subflavus,Boidae,18.353344,-77.658142,75,Male,1725,152,95MCP,12.25,15347.88,1804.81,238.17,9.87,7,1,0.14
Miersma 2006,Epicrates subflavus,Epicrates subflavus,Chilabothrus_subflavus,Boidae,18.353344,-77.658142,75,Female,1952,155,95MCP,2.95,15347.88,1804.81,238.17,9.87,7,1,0.14
Brown and Parker 1976,Coluber constrictor,Coluber constrictor,Coluber_constrictor,Colubridae,40.604636,-112.538353,1580,Female,117.6,68.5,100MCP,1.45,1758.36,404.86,92.54,93.44,13,2,0.15
Carfagno and Weatherhead 2008,Coluber constrictor,Coluber constrictor,Coluber_constrictor,Colubridae,37.372805,-88.964218,104,Male,558.7,119.6,100MCP,21.9,6121.11,1193.97,136.15,92.6,13,2,0.15
Carfagno and Weatherhead 2008,Coluber constrictor,Coluber constrictor,Coluber_constrictor,Colubridae,37.372805,-88.964218,104,Female,553.6,120.6,100MCP,19.6,6121.11,1193.97,136.15,92.6,13,2,0.15
Gardiner et al. 2013,Coluber constrictor flaviventris,Coluber constrictor,Coluber_constrictor,Colubridae,49.168381,-107.632244,786,Male,136,72,95KD,14.7,2698.73,319.57,39.89,115.09,13,2,0.15
Gardiner et al. 2013,Coluber constrictor flaviventris,Coluber constrictor,Coluber_constrictor,Colubridae,49.168381,-107.632244,786,Female,167,75,95KD,13.7,2698.73,319.57,39.89,115.09,13,2,0.15
Klug et al. 2011,Coluber constrictor,Coluber constrictor,Coluber_constrictor,Colubridae,39.096236,-96.598181,388,Male,113,65.5,100MCP,21.64,3229.07,862.75,121.04,104.21,13,2,0.15
Klug et al. 2011,Coluber constrictor flaviventris,Coluber constrictor,Coluber_constrictor,Colubridae,39.096236,-96.598181,388,Female,160.3,71.7,100MCP,6.36,3229.07,862.75,121.04,104.21,13,2,0.15
Martino et al. 2012,Coluber constrictor,Coluber constrictor,Coluber_constrictor,Colubridae,49.168381,-107.632244,786,Male,113,65.5,100MCP,192,2698.73,319.57,39.89,115.09,13,2,0.15
Martino et al. 2012,Coluber constrictor flaviventris,Coluber constrictor,Coluber_constrictor,Colubridae,49.168381,-107.632244,786,Female,160.3,71.7,100MCP,83,2698.73,319.57,39.89,115.09,13,2,0.15
Halstead et al. 2009,Masticophis flagellum,Coluber flagellum,Coluber_flagellum,Colubridae,27.781257,-81.449238,25,Male,634,146.7,90KD,213,7469.82,1238.88,224.02,44.44,11,0,0
Halstead et al. 2009,Masticophis flagellum,Coluber flagellum,Coluber_flagellum,Colubridae,27.781257,-81.449238,25,Female,509.5,137.8,90KD,157,7469.82,1238.88,224.02,44.44,11,0,0
Howze and Smith 2015,Masticophis flagellum,Coluber flagellum,Coluber_flagellum,Colubridae,31.250659,-84.37259,50,Male,693.8,146.7,100MCP,117.9,6969.61,1321.95,192.67,65.74,11,0,0
Howze and Smith 2015,Masticophis flagellum,Coluber flagellum,Coluber_flagellum,Colubridae,31.250659,-84.37259,50,Female,496.4,137.8,100MCP,65.2,6969.61,1321.95,192.67,65.74,11,0,0
Hoss et al. 2010,Crotalus adamanteus,Crotalus adamanteus,Crotalus_adamanteus,Viperidae,31.250659,-84.37259,50,Male,1751,120.8,100MCP,30.49,6969.61,1321.95,192.67,65.74,6,0,0
Hoss et al. 2010,Crotalus adamanteus,Crotalus adamanteus,Crotalus_adamanteus,Viperidae,31.250659,-84.37259,50,Female,1099,110.2,100MCP,20.59,6969.61,1321.95,192.67,65.74,6,0,0
Timmerman 1995,Crotalus adamanteus,Crotalus adamanteus,Crotalus_adamanteus,Viperidae,29.686194,-81.996578,44,Male,1764,117.7,100MCP,84.31,7684.5,1314.23,203.4,55.2,6,0,0
Timmerman 1995,Crotalus adamanteus,Crotalus adamanteus,Crotalus_adamanteus,Viperidae,29.686194,-81.996578,44,Female,1664,129.45,100MCP,46.53,7684.5,1314.23,203.4,55.2,6,0,0
Waldron et al. 2006,Crotalus adamanteus,Crotalus adamanteus,Crotalus_adamanteus,Viperidae,32.841667,-81.171224,23,Male,1764,126,95KD,84.82,9017.82,1235.84,181.95,68.89,6,0,0
Waldron et al. 2006,Crotalus adamanteus,Crotalus adamanteus,Crotalus_adamanteus,Viperidae,32.841667,-81.171224,23,Female,1664,124,95KD,28.63,9017.82,1235.84,181.95,68.89,6,0,0
Schuett et al. 2013,Crotalus atrox,Crotalus atrox,Crotalus_atrox,Viperidae,32.669117,-111.123028,850,Female,279.17,85.76,100MCP,4.74,1258.08,404,197.31,75.38,8,0,0
Secor 1994,Crotalus cerastes,Crotalus cerastes,Crotalus_cerastes,Viperidae,34.979619,-115.638561,690,Male,127.84,51.36,100MCP,28.79,1130.92,146.94,190.94,82.31,1,0,0
Secor 1994,Crotalus cerastes,Crotalus cerastes,Crotalus_cerastes,Viperidae,34.979619,-115.638561,690,Female,125.18,53.33,100MCP,18.76,1130.92,146.94,190.94,82.31,1,0,0
Adams 2005,Crotalus horridus,Crotalus horridus,Crotalus_horridus,Viperidae,38.954376,-79.901147,900,Male,1048,106.58,100MCP,94.3,6818.57,1253.18,94.45,83.78,4,1,0.25
Adams 2005,Crotalus horridus,Crotalus horridus,Crotalus_horridus,Viperidae,38.954376,-79.901147,900,Female,781,96.59,100MCP,31.2,6818.57,1253.18,94.45,83.78,4,1,0.25
Reinert and Rupert 1999,Crotalus horridus,Crotalus horridus,Crotalus_horridus,Viperidae,40.65965,-75.91804,300,Male,785.25,97.15,100MCP,59.9,6894.78,1197.91,94.08,92.17,4,1,0.25
Reinert and Rupert 1999,Crotalus horridus,Crotalus horridus,Crotalus_horridus,Viperidae,40.65965,-75.91804,300,Female,543.1,86.19,100MCP,41.86,6894.78,1197.91,94.08,92.17,4,1,0.25
Reinert and Zappalorti 1988,Crotalus horridus,Crotalus horridus,Crotalus_horridus,Viperidae,39.278245,-74.807191,30,Male,1048,106.58,100MCP,48.63,7747.35,1085.62,123.62,85.65,4,1,0.25
Reinert and Zappalorti 1988,Crotalus horridus,Crotalus horridus,Crotalus_horridus,Viperidae,39.278245,-74.807191,30,Female,781,96.59,100MCP,15.03,7747.35,1085.62,123.62,85.65,4,1,0.25
Waldron et al. 2006,Crotalus horridus,Crotalus horridus,Crotalus_horridus,Viperidae,32.841667,-81.171224,23,Male,1311,116,95KD,48.38,9017.82,1235.84,181.95,68.89,4,1,0.25
Waldron et al. 2006,Crotalus horridus,Crotalus horridus,Crotalus_horridus,Viperidae,32.841667,-81.171224,23,Female,1019,107,95KD,30.82,9017.82,1235.84,181.95,68.89,4,1,0.25
MacGowan et al. 2017,Crotalus horridus,Crotalus horridus,Crotalus_horridus,Viperidae,38.5,-86.3,200,Male,1048,106.58,100MCP,68.8,6491.929032,1166.092473,119.8329749,91.53214104,4,1,0.25
MacGowan et al. 2017,Crotalus horridus,Crotalus horridus,Crotalus_horridus,Viperidae,38.5,-86.3,200,Female,781,96.59,100MCP,22.7,6491.929032,1166.092473,119.8329749,91.53214104,4,1,0.25
Glaudas and Rodriguez-Robles 2011,Crotalus mitchellii,Crotalus mitchellii,Crotalus_mitchellii,Viperidae,35.736261,-114.826433,1050,Male,558.6,85.3,95KD,19,1041.13,156.12,182.95,85.31,6,0,0
