Citation,Study_Species,Species_analyze,Tree_taxon,Family,SiteLatitude,SiteLongitude,elevation.m,Sex,Mass,SVL,EstimationMethod,Home_range,MEAN_NPP,Total_Precip,MnAnnTemp,SD_Temp,IUCN habitats,IUCN aquatic,Aquatic index
Croak et al. 2013,Hoplocephalus bungaroides,Hoplocephalus bungaroides,Hoplocephalus_bungaroides,Elapidae,-33.018011,150.932566,260,Male,54.8,59,100MCP,4.03,14631.13,878.79,164.4,47.27,NA,NA,NA
Croak et al. 2013,Hoplocephalus bungaroides,Hoplocephalus bungaroides,Hoplocephalus_bungaroides,Elapidae,-33.018011,150.932566,260,Female,55.8,60.52,100MCP,3.77,14631.13,878.79,164.4,47.27,NA,NA,NA
Webb and Shine 1997,Hoplocephalus bungaroides,Hoplocephalus bungaroides,Hoplocephalus_bungaroides,Elapidae,-34.658157,150.481386,400,Male,47.53,56.1,100MCP,3.26,15473.66,1405.51,139.53,42.54,NA,NA,NA
Webb and Shine 1997,Hoplocephalus bungaroides,Hoplocephalus bungaroides,Hoplocephalus_bungaroides,Elapidae,-34.658157,150.481386,400,Female,50.89,58.7,100MCP,2.79,15473.66,1405.51,139.53,42.54,NA,NA,NA
Fitzgerald et al. 2002,Hoplocephalus stephensii,Hoplocephalus stephensii,Hoplocephalus_stephensii,Elapidae,-28.558486,153.373348,221,Male,136.73,75.11,95KD,25.67,17890.8,1867.86,181.18,36.53,1,0,0
Fitzgerald et al. 2002,Hoplocephalus stephensii,Hoplocephalus stephensii,Hoplocephalus_stephensii,Elapidae,-28.558486,153.373348,221,Female,109.35,73.13,95KD,5.26,17890.8,1867.86,181.18,36.53,1,0,0
Richardson et al. 2006,Lampropeltis c calligaster,Lampropeltis calligaster,Lampropeltis_calligaster,Colubridae,39.98625,-90.060227,187,Male,216,87,100MCP,8.3,5033.09,944.04,111.08,102.98,6,0,0
Richardson et al. 2006,Lampropeltis c calligaster,Lampropeltis calligaster,Lampropeltis_calligaster,Colubridae,39.98625,-90.060227,187,Female,176.5,82.3,100MCP,2.4,5033.09,944.04,111.08,102.98,6,0,0
Anguiano and Diffendorfer 2015,Lampropeltis getula,Lampropeltis getula,Lampropeltis_getula,Colubridae,32.818405,-117.036437,375,Male,236.39,82.03,95KD,5.27,5196.81,313.02,173.56,36.9,16,2,0.13
Anguiano and Diffendorfer 2015,Lampropeltis getula,Lampropeltis getula,Lampropeltis_getula,Colubridae,32.818405,-117.036437,375,Female,220.31,79.88,95KD,1.85,5196.81,313.02,173.56,36.9,16,2,0.13
Linehan et al. 2010,Lampropeltis getula,Lampropeltis getula,Lampropeltis_getula,Colubridae,31.250659,-84.37259,50,Male,296.25,102.29,100MCP,49.5,6969.61,1321.95,192.67,65.74,16,2,0.13
Linehan et al. 2010,Lampropeltis getula getula,Lampropeltis getula,Lampropeltis_getula,Colubridae,31.250659,-84.37259,50,Female,216,98.7,100MCP,49.4,6969.61,1321.95,192.67,65.74,16,2,0.13
Plummer 2010,Lampropeltis getula,Lampropeltis getula,Lampropeltis_getula,Colubridae,35.251506,-91.57534,58,Male,296.25,93.125,100MCP,18,5639.05,1283.97,159.92,87.06,16,2,0.13
Plummer 2010,Lampropeltis getula holbrooki,Lampropeltis getula,Lampropeltis_getula,Colubridae,35.251506,-91.57534,58,Female,216,84.5,100MCP,2.8,5639.05,1283.97,159.92,87.06,16,2,0.13
Wund et al. 2007,Lampropeltis getula,Lampropeltis getula,Lampropeltis_getula,Colubridae,39.741412,-74.726279,14,Male,296.25,98.9,100MCP,18.4,8338.76,1125.61,118.24,87.58,16,2,0.13
Wund et al. 2007,Lampropeltis getula getula,Lampropeltis getula,Lampropeltis_getula,Colubridae,39.741412,-74.726279,14,Female,216,86.3,100MCP,12.2,8338.76,1125.61,118.24,87.58,16,2,0.13
Ettling et al. 2013,Montivipera raddei,Montivipera raddei,Montivipera_raddei,Viperidae,40.350705,44.709338,2074,Male,182.63,71.13,95MCP,18.83,4312.74,469.95,59.71,83.21,3,0,0
Ettling et al. 2013,Montivipera raddei,Montivipera raddei,Montivipera_raddei,Viperidae,40.350705,44.709338,2074,Female,134.8,66.3,95MCP,32.28,4312.74,469.95,59.71,83.21,3,0,0
Corey and Doody 2010,Morelia spilota,Morelia spilota,Morelia_spilota,Pythonidae,-33.211164,144.990925,106,Male,1600,165.6,100MCP,9.75,2008.12,352.2,176.76,59.52,11,0,0
Corey and Doody 2010,Morelia spilota,Morelia spilota,Morelia_spilota,Pythonidae,-33.211164,144.990925,106,Female,1400,166.55,100MCP,2.05,2008.12,352.2,176.76,59.52,11,0,0
